Barrio,Censo (1),Abstención,Total,Nulos,Total no nulos,Blanco,Total no nulos no blancos,PACMA,MAS MADRID,P.S.O.E.,PH,ULEG,Cs,FE de las JONS,PCAS-TC,PUM+J,P-LIB,P.P. ,PCTE,VOX,UPyD,PODEMOS-IU
175,22939,8004,14935,74,14861,66,14795,108,2486,4965,5,5,2106,15,13,11,6,3033,12,1066,13,951
181,27402,11463,15939,84,15855,62,15793,149,3849,5388,7,2,2196,10,11,18,5,1929,26,879,15,1309
182,19129,5574,13555,65,13490,54,13436,82,2482,4260,4,0,2472,5,5,12,6,2415,8,939,3,743
183,30129,9404,20725,75,20650,105,20545,170,5311,5283,8,4,4762,13,11,20,5,1955,9,1472,33,1489
191,23556,9742,13814,64,13750,53,13697,124,2354,4984,5,3,2035,12,17,17,8,2296,11,947,14,870
192,13733,3487,10246,29,10217,48,10169,57,2479,3225,5,1,1779,1,12,14,2,1199,16,574,6,799
193,12014,2607,9407,29,9378,45,9333,49,1976,2546,4,1,2462,5,2,12,0,1150,1,596,3,526
194,1132,263,869,5,864,10,854,12,182,190,0,0,235,0,1,2,0,90,0,85,2,55
201,19184,7345,11839,61,11778,69,11709,110,2078,3607,3,1,2331,13,13,18,3,2012,6,830,28,656
202,6969,2918,4051,28,4023,10,4013,39,800,1450,1,0,511,1,5,4,0,573,7,248,7,367
203,6066,3006,3060,18,3042,9,3033,22,550,1146,1,1,426,2,4,4,0,449,2,196,1,229
204,18065,6967,11098,32,11066,57,11009,72,2286,3640,5,3,1862,3,10,9,5,1607,11,755,12,729
205,23772,5426,18346,73,18273,82,18191,96,3332,5432,8,1,4102,7,3,17,3,2972,10,1193,23,992
206,10648,3665,6983,20,6963,31,6932,35,1092,1630,1,2,1888,3,1,4,1,1294,8,671,10,292
207,21037,7516,13521,76,13445,42,13403,96,2196,3969,6,2,2443,3,3,14,2,2878,17,998,9,767
208,9038,2150,6888,28,6860,17,6843,46,961,1669,2,0,1615,3,1,3,1,1661,6,613,9,253
211,14990,3204,11786,35,11751,38,11713,50,1569,2713,7,2,2845,6,3,12,4,3044,1,1018,15,424
212,1231,573,658,3,655,0,655,5,149,176,0,0,127,1,0,0,0,78,2,80,0,37
213,5425,2001,3424,11,3413,14,3399,46,559,943,0,0,645,5,2,1,2,657,4,342,1,192
214,8653,2428,6225,26,6199,26,6173,33,1077,1513,2,0,1597,2,1,12,4,1091,1,534,14,292
215,5151,1156,3995,16,3979,15,3964,19,390,697,1,0,1336,0,1,1,1,980,3,427,10,98
